ID,Category,Question,Answer,Answer_Length
51,Placement,placements,Our Placement Cell conducts training and campus drives.,55
52,Placement,placement cell,The Placement Cell helps students prepare for jobs.,51
53,Placement,companies,Many top companies visit our campus every year.,47
54,Placement,highest package,Please contact the Placement Office for latest statistics.,58
55,Placement,average package,Placement statistics are available on the college website.,58
56,Placement,internship,Internship opportunities are provided through the Placement Cell.,65
57,Placement,training,Placement training includes aptitude and interview preparation.,63
58,Placement,mock interview,Mock interviews are conducted regularly.,40
59,Placement,resume building,Resume preparation sessions are organized.,42
60,Placement,placement eligibility,Eligibility depends on company requirements.,44
61,Fees,fee structure,Please contact the Accounts Office for fee details.,51
62,Fees,pay fees,Fees can be paid online or offline.,35
63,Fees,online payment,Online fee payment is available.,32
64,Fees,fee receipt,Fee receipts can be downloaded from the student portal.,55
65,Fees,refund policy,Please contact the Accounts Office for refund policies.,55
66,Fees,late fee,Late fee may be applicable after the due date.,46
67,Fees,tuition fee,Please check the fee structure for tuition fees.,48
68,Fees,hostel fee,Hostel fees are separate from tuition fees.,43
69,Fees,bus fee,Transport fees depend on the selected route.,44
70,Fees,scholarship amount,Scholarship amount depends on eligibility.,42
71,Faculty,faculty,Our college has experienced faculty members.,44
72,Faculty,hod,Please visit the department office for HOD details.,51
73,Faculty,principal,The Principal oversees all academic activities.,47
74,Faculty,staff,Faculty details are available on the college website.,53
75,Faculty,mentor,Each student is assigned a faculty mentor.,42
76,Faculty,office hours,Faculty office hours are displayed in departments.,50
77,Faculty,email faculty,Faculty email IDs are available on the website.,47
78,Faculty,department office,Please visit your department office for assistance.,51
79,Faculty,faculty room,Faculty rooms are located in each department.,45
80,Faculty,contact faculty,Students can contact faculty during working hours.,50
81,Examination,exam timetable,Exam schedules are published on the student portal.,51
82,Examination,exam,Please check the Examination Branch for details.,48
83,Examination,results,Results are announced on the official website.,46
84,Examination,internal marks,Internal marks are available on the student portal.,51
85,Examination,backlogs,Please contact the Examination Branch regarding backlogs.,57
86,Examination,exam hall,Exam hall details are announced before exams.,45
87,Examination,hall ticket,Hall tickets can be downloaded from the portal.,47
88,Examination,revaluation,Students can apply for revaluation after results.,49
89,Examination,supplementary exams,Supplementary exam notifications will be announced.,51
90,Examination,attendance for exams,Minimum attendance is required to appear for exams.,51
91,Campus,wifi,Campus Wi-Fi is available for students.,39
92,Campus,bus facility,College buses are available on multiple routes.,47
94,Campus,sports,Sports facilities are available for students.,45
95,Campus,gym,A gym facility is available on campus.,38
96,Campus,medical facility,First aid and medical assistance are available.,47
97,Campus,student clubs,Various technical and cultural clubs are active.,48
98,Campus,nss,NSS activities are conducted regularly.,39
99,Campus,ncc,NCC unit is available for eligible students.,44
100,Campus,college timings,College working hours are from 9:00 AM to 4:30 PM.,50
101,Library,where is library,The library is located in Block A.,34
102,Library,library location,The library is located in Block A.,34
103,Library,how to reach library,The library is located in Block A.,34
104,Admission,how can i get admission,Please visit the Admission Office or apply online.,50
105,Admission,how to join college,Please visit the Admission Office or apply online.jupyter notebook,66
